id,ingredient_category_id,ingredient_id
166,3,292
167,3,293
168,3,294
169,3,295
170,3,296
171,3,297
172,3,298
173,3,299
174,3,300
175,3,301
176,3,302
177,3,303
178,3,304
179,3,305
180,3,306
181,3,307
182,3,308
183,3,309
184,3,310
185,3,311
186,3,312
187,3,313
188,3,314
189,3,315
190,3,316
191,3,317
192,3,318
193,3,319
194,3,320
195,3,321
196,3,322
197,3,323
198,3,324
199,3,325
200,3,326
201,3,327
202,3,328
203,3,329
204,3,330
205,3,331
206,3,332
207,3,333
208,3,334
209,3,335
210,3,336
211,3,337
212,3,338
213,3,339
214,3,340
215,3,341
216,3,342
217,3,343
218,3,344
219,3,345
220,3,346
221,3,347
222,3,348
223,3,349
224,3,350
225,3,351
226,3,352
227,3,353
228,3,354
229,3,355
230,3,356
231,3,357
232,3,358
233,3,359
234,3,360
235,3,361
236,3,362
237,3,363
238,3,364
239,3,365
240,3,366
241,3,367
242,3,368
243,3,369
244,3,370
245,3,371
246,3,372
247,3,373
248,3,374
249,3,375
250,3,376
251,3,377
252,3,378
253,3,379
254,3,380
255,3,381
256,4,382
257,4,383
258,4,384
259,4,385
260,4,386
261,4,387
262,4,388
263,4,389
264,4,390
265,4,391
266,4,392
267,4,393
268,4,394
269,4,395
270,4,396
271,4,397
272,4,398
273,4,399
274,4,400
275,4,401
276,4,402
277,4,403
278,4,404
279,4,405
280,4,406
281,4,407
282,6,541
283,6,542
284,6,543
285,6,544
286,6,545
287,6,546
288,6,547
289,6,548
290,6,549
291,6,550
292,6,551
293,6,552
294,6,553
295,6,554
296,6,555
297,6,556
298,6,557
299,6,558
300,6,559
301,6,560
302,6,561
303,6,562
304,6,563
305,6,564
306,6,565
307,6,566
308,6,567
309,6,568
310,6,569
311,6,570
312,6,571
313,6,572
314,6,573
315,6,574
316,6,575
317,6,576
318,6,577
319,6,578
320,6,579
321,6,580
322,6,581
323,6,582
324,6,583
325,6,584
326,6,585
327,6,586
328,6,587
329,6,588
330,6,589
331,6,590
332,6,591
333,6,592
334,6,593
335,6,594
336,7,595
337,7,596
338,7,597
339,7,598
340,7,599
341,7,600
342,7,601
343,7,602
344,7,603
345,7,604
346,7,605
347,7,606
348,7,607
349,7,608
350,7,609
351,7,610
352,7,611
353,7,612
354,7,613
355,7,614
356,7,615
357,7,616
358,7,617
359,7,618
360,7,619
361,7,620
362,7,621
363,7,622
364,7,623
365,7,624
366,7,625
367,7,626
368,7,627
369,7,628
370,7,629
371,7,630
372,7,631
373,7,632
374,7,633
375,7,634
376,7,635
377,7,636
378,7,637
379,7,638
380,7,639
381,7,640
382,7,641
383,7,642
384,7,643
385,7,644
386,7,645
387,7,646
388,7,647
389,7,648
390,7,649
391,7,650
392,7,651
393,7,652
394,7,653
395,7,654
